URL,url_length,num_digits,num_special_chars,num_subdomains,https
http://secure-sso--blockfi-ppp-cdn.webflow.io/,46,0,11,2,0
http://netflix-clone-9421c.firebaseapp.com/,43,4,8,2,0
http://plain-polydactyl-canid.glitch.me/,40,0,8,2,0
http://netzerioih.weebly.com/,29,0,6,2,0
https://talkta1k2.weebly.com/,29,2,6,2,1
https://e-zpassny.com-lqd.cc/us/,32,0,9,2,1
https://steamcommuniuty.com/id/luvmoons,39,0,6,1,1
http://amazon-replica.vercel.app/,33,0,7,2,0
https://steamcmunity.com/tradeoffer/new/?partner=10897263342&token=hL5xBGgK,75,12,11,1,1
https://mettaomask-wwllat.gitbook.io/,37,0,7,2,1
http://likesattmail.weebly.com/,31,0,6,2,0
https://ezpass.com-ezud.vip/us/,31,0,8,2,1
https://unconventional-id223462310.vercel.app/hhkruu.html,57,9,8,3,1
https://unlawfulcontentadshub.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM,80,4,10,2,1
https://safereportengagezone.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM,79,4,10,2,1
https://currentwireless.wixstudio.com/my-site/,46,0,8,2,1
https://stoprightsviolationtrendmarketers.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM,92,4,10,2,1
https://contentenginerightsflag.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM,83,3,12,2,1
https://contentblastmoderation.vercel.app/ttu&g_ep=EgoyMDI1&MDNaNa4wIKXMDSoA,76,2,10,2,1
http://portal--ndax-nav-cdn--auth.webflow.io/,45,0,12,2,0
http://pagina.pro/help-facebook-support-business-helpcenter-authentication-settings-checkpoint-next,99,0,13,1,0
https://meta-ads-manager-facebook-support-git-9596e3-id1000631944-data.vercel.app/ibx.aypne/,92,15,16,3,1
https://lygadiu.com/,20,0,5,1,1
https://bscusdtaa.pages.dev/,28,0,6,2,1
https://cockenhx3dp.vercel.app/tech,35,1,6,2,1
http://secure----auth-moonpay-log-in-cdn.webflow.io/,52,0,14,2,0
https://shuweitrading.com/rarhahaiae/,37,0,6,1,1
https://rightsadshifters.vercel.app/get_help,44,0,7,2,1
http://get-ur-blue-badge-chance.vercel.app/,43,0,10,2,0
http://fitness-main-id1006732508.vercel.app/juk.html,52,10,9,3,0
https://help-edger-ledger-auth.webflow.io/,42,0,9,2,1
https://bafkreiat7p7jqni4hhhsdwmqdnjwvjvbuvelwu4ewiqneooym4phwusocy.ipfs.dweb.link/,83,5,7,3,1
https://mj722.com/views/index.php,33,3,7,2,1
https://legalengagezone.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM,74,4,10,2,1
https://cgd-caixaproteger.com/,30,0,6,1,1
http://portal--ndaxlogin--ca--portal.webflow.io/,48,0,12,2,0
https://phanmtwallte.webflow.io/,32,0,6,2,1
http://safeadfusion.vercel.app/ttu&g_ep=EgoyMDI1&MDNaNa4wIKXMDSoA.html,70,2,11,3,0
https://web-app-start-ledgercom.webflow.io/,43,0,9,2,1
http://dapmhcwsro.duckdns.org/en/,33,0,7,2,0
https://55100-55100-tz03.com/,29,12,7,1,1
http://551005z.cc/,18,6,5,1,0
https://2290tax.online/page1.php/,33,5,7,2,1
http://secure-sso--auth---ndaxlog.webflow.io/,45,0,12,2,0
https://ndaxx-logiiin.webflow.io/,33,0,7,2,1
https://help-sso-s----ledgecontent.webflow.io/,46,0,12,2,1
https://safeguardaccountadmomentum.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,79,2,9,2,1
https://ngawipa.cloud/6e3addf9-1de9-4dcc-922d-772d4b37e293/cmlja3VzQGlrb25vZmZpY2UuY28uemE=,91,24,11,1,1
http://stermcommnunity.com/gift/id=985127,41,6,7,1,0
http://copyrightbreachcontentpros.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM.html,89,4,11,3,0
http://pinbo3656d.com/,22,4,5,1,0
https://kucoinloogine.webflow.io/,33,0,6,2,1
https://pancakelite.top/swap?outputCurrency=0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82&chainId=56/,98,23,10,1,1
http://pancakelite.top/swap?outputCurrency=0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82&chainId=56,96,23,9,1,0
https://channelhub.info/8a91acd3cxe4534f16n9fb1f40dje36fca28.html,65,18,6,2,1
http://pancakelite.top/lottery,30,0,5,1,0
http://reviewfeedbackslower.firebaseapp.com/,44,0,6,2,0
http://trezzore-herdwere-wallt.github.io/,41,0,8,2,0
http://paypalloginin-usa.blogspot.lu/,37,0,7,2,0
http://verifid.akuanakmamah.de.codashop-mlbb.event-redeem.com/,62,0,11,5,0
https://sp837032.sitebeat.crazydomains.com/,43,6,7,3,1
https://datangs.weebly.com/,27,0,6,2,1
https://aktivasi-danafaylater.floxs6.web.id/,44,1,8,3,1
http://portal-app----ndax-io---cdn-auth.webflow.io/,51,0,16,2,0
http://giminee-lloggins.godaddysites.com/,41,0,7,2,0
https://kundtl.wpenginepowered.com/ps/ch/,41,0,8,2,1
http://mhuyt.drecdn.eu.org/,27,0,7,3,0
http://sso-ca-ndax-sso-auth.webflow.io/,39,0,10,2,0
http://cdn-ndax-serv-auths.webflow.io/,38,0,9,2,0
http://web-docs-ndax-cdn-web.webflow.io/,40,0,10,2,0
https://prommvacacional.online/,31,0,5,1,1
http://safetyengagementplus.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM.html,83,4,11,3,0
http://illegalbuzzgurus.vercel.app/ttu&g_ep=EgoyMDI1&MDNaNa4wIKXMDSoA.html,74,2,11,3,0
http://safeadforce.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA.html,68,2,10,3,0
http://portal-sso-ndax-nav-c-cdn-auth.webflow.io/,49,0,12,2,0
https://socialinsightproprivacyprotection.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM,93,3,12,2,1
